id;number_id;creditor_name;creditor_address;bank_name;bank_address;account_no;corr_bank_name;corr_bank_address
1;37454;Directives application Home Loan Account;Dam;Practical Fresh Pants;Metal deposit;Producer;Implementation Electronics Officer;methodology Albania
2;43194;intangible;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Planner cross-platform access
3;9767;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;connect Markets Chief
4;59789;National Awesome sky blue;Tactics;scale interactive generating;Specialist Home Loan Account;Plastic;Car Industrial deliverables;orange Books
5;81546;monitor;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus
6;76078;Idaho compress Avon;system Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual
7;63340;RSS;mint green e-business EXE;back-end;granular Direct contextually-based;synergies copying;ability Hat Iraq;magenta Concrete
8;33761;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;encompassing
9;90826;Public-key Granite;Way Dominican Republic;Bulgarian Lev navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation
10;18651;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented
